ingredient,fdc_id,description,data_type,calories,protein_g,fat_g,carbs_g,search_term,match_quality
Waffle,2209232,"1704: Waffles, Whole Grain, Strawberry 2 Pack. Contains egg, milk, soy, and wheat ingredients. Produced in a nut-free facility.",branded_food,230.0,5.41,4.73,41.89,waffle,exact
Pastry,172755,"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",sr_legacy_food,371.0,5.4,18.5,47.8,pastry,exact
Milk,174870,"Beverages, Strawberry-flavor beverage mix, powder, prepared with whole milk",sr_legacy_food,88.0,3.0,3.1,12.3,milk,exact
Whole milk,174870,"Beverages, Strawberry-flavor beverage mix, powder, prepared with whole milk",sr_legacy_food,88.0,3.0,3.1,12.3,whole milk,exact
Skim milk,2125925,"FRESH!, FAT FREE SKIM MILK",branded_food,33.0,3.33,0.0,4.58,skim milk,exact
Goat milk,1988588,"BLOODY MARY FRESH GOAT MILK CHEESE WITH TOMATO, HORSERADISH, AND SPICES, BLOODY MARY",branded_food,286.0,17.86,21.43,3.57,goat milk,exact
Condensed milk,2486990,"7 LAYER SQUARE LAYERS OF GRAHAM CRUMBS, CONDENSED MILK, BUTTERSCOTCH CHIPS, SEMI-SWEET CHOCOLATE CHIPS, COCONUT FLAKES, PECANS, 7 LAYER",branded_food,460.0,4.0,28.0,54.0,condensed milk,exact
Evaporated milk,2085859,"CALIFORNIA FARMS, EVAPORATED MILK",branded_food,133.0,6.67,6.67,10.0,evaporated milk,exact
Powdered milk,862658,"CHOCOLATE FLAVOR POWDERED MILK, CHOCOLATE",branded_food,357.0,7.14,0.0,85.71,powdered milk,exact
Butter,170385,"Butterbur, (fuki), raw",sr_legacy_food,14.0,0.39,0.04,3.61,butter,exact
Clarified butter,171314,"Butter, Clarified butter (ghee)",sr_legacy_food,900.0,0.0,100.0,0.0,clarified butter,exact
Ghee,171314,"Butter, Clarified butter (ghee)",sr_legacy_food,900.0,0.0,100.0,0.0,ghee,exact
Cream,170662,"Ice creams, BREYERS, All Natural Light Vanilla Chocolate Strawberry",sr_legacy_food,161.0,4.69,4.35,26.06,cream,exact
Whipping cream,2303208,FRESH 40% HEAVY WHIPPING CREAM,branded_food,400.0,0.0,40.0,0.0,whipping cream,exact
Sour cream,1217716,"BAKERY FRESH GOODNESS, ANGEL FOOD CAKE, SOUR CREAM",branded_food,304.0,6.52,0.0,67.39,sour cream,exact
Yogurt,170775,"Fast foods, strawberry banana smoothie made with ice and low-fat yogurt",sr_legacy_food,65.0,0.86,0.14,15.05,yogurt,exact
Greek yogurt,1243270,"365 EVERYDAY VALUE, ORGANIC LOW FAT GREEK YOGURT DESSERT BARS, STRAWBERRY",branded_food,133.0,6.67,1.67,25.0,greek yogurt,exact
Cheese,173413,"Cheese, caraway",sr_legacy_food,376.0,25.18,29.2,3.06,cheese,exact
Cheddar cheese,531299,AGED RAW MILK CHEDDAR CHEESE,branded_food,429.0,25.0,32.14,3.57,cheddar cheese,exact
Mozzarella cheese,1661908,"AGED ASIAGO FRESHLY MADE HAND-LAYERED PASTA WITH ASIAGO, CREAMY RICOTTA & MOZZARELLA CHEESE & A HEARTY TOMATO MEAT SAUCE LASAGNA, AGED ASIAGO",branded_food,124.0,7.42,4.24,14.13,mozzarella cheese,exact
Parmesan cheese,1539461,"BEL GIOIOSO, FRESHLY SHAVED PARMESAN CHEESE",branded_food,400.0,40.0,20.0,0.0,parmesan cheese,exact
Swiss cheese,1884553,"ACME FRESH MARKET, CUBED SWISS CHEESE, WISCONSIN CHEESE",branded_food,429.0,21.43,35.71,0.0,swiss cheese,exact
Blue cheese,1111448,"BLUE CHEESE CRUMBLES RAW MILK CHEESE, BLUE CHEESE CRUMBLES",branded_food,357.0,21.43,28.57,3.57,blue cheese,exact
Cream cheese,2483925,"ASSORTED MINI DANISH WITH CREAM CHEESE, APPLE, LEMON, CHERRY OR STRAWBERRY FILLING, ASSORTED WITH CREAM CHEESE, APPLE, LEMON, CHERRY OR STRAWBERRY",branded_food,324.0,2.94,14.71,44.12,cream cheese,exact
Cottage cheese,2112673,"2% LOW FAT SMALL CURD COTTAGE CHEESE WITH STRAWBERRY ON THE BOTTOM, STRAWBERRY ON THE BOTTOM",branded_food,92.0,8.45,1.76,9.86,cottage cheese,exact
Ricotta cheese,716418,"CHEESE MICROWAVEABLE RAVIOLI PREMIUM PASTA STUFFED WITH A SMOOTH BLEND OF FRESH RICOTTA CHEESE & SEASONINGS, CHEESE",branded_food,175.0,6.99,3.5,29.37,ricotta cheese,exact
Feta cheese,1249647,"DAIRY FRESH, PREMIUM CRUMBLED FETA CHEESE",branded_food,286.0,17.86,21.43,3.57,feta cheese,exact
Goat cheese,952813,"BLACK TRUFFLE FRESH GOAT CHEESE, BLACK TRUFFLE",branded_food,250.0,14.29,17.86,3.57,goat cheese,exact
Egg,172189,"Egg, duck, whole, fresh, raw",sr_legacy_food,185.0,12.81,13.77,1.45,egg,exact
Duck egg,2707176,"Duck egg, cooked",survey_fndds_food,224.0,11.96,18.55,1.36,duck egg,exact
Quail egg,2707178,"Quail egg, canned",survey_fndds_food,158.0,13.01,11.06,0.41,quail egg,exact
Salted egg,2708049,"Pastry, made with bean paste and salted egg yolk filling, baked",survey_fndds_food,339.0,8.59,8.61,56.98,salted egg,exact
Century egg,1771795,"NEW CENTURY SNACKS, RAW ALMONDS",branded_food,567.0,20.0,50.0,23.33,century,partial
Powdered egg,2671359,DRIED EGG PRODUCT POWDERED EGGS,branded_food,615.0,46.15,46.15,0.0,powdered egg,exact
Mayonnaise,1127890,"FRESH TENDER TURKEY BREAST ,SAVORY STUFFING AND SWEET CRANBERRY MAYONNAISE WRAPPED TOGETHER IN A SOFT FLOUR TORTILLA, THANKSGIVING TURKEY TWISTER",branded_food,272.0,10.29,8.09,30.88,mayonnaise,exact
Custard,171725,"Custard-apple, (bullock's-heart), raw",sr_legacy_food,101.0,1.7,0.6,25.2,custard,exact
Ice cream,170662,"Ice creams, BREYERS, All Natural Light Vanilla Chocolate Strawberry",sr_legacy_food,161.0,4.69,4.35,26.06,ice cream,exact
Frozen yogurt,389715,"BEN & JERRY'S, GREEK, FROZEN YOGURT, STRAWBERRY SHORTCAKE",branded_food,175.0,4.12,5.15,26.8,frozen yogurt,exact
Butter oil,173412,"Butter oil, anhydrous",sr_legacy_food,876.0,0.28,99.48,0.0,butter oil,exact
Milkshake,1061405,"BANANA SPLIT BERRY STRAWBERRY BANANA LOW-FAT YOGURT MILKSHAKE DRINK, BANANA SPLIT BERRY",branded_food,76.0,5.08,1.69,9.32,milkshake,exact
Whey protein,2592622,"100% WHEY PROTEIN PLUS 60 G POWDER, STRAWBERRY SMOOTHIE, STRAWBERRY SMOOTHIE",branded_food,370.0,65.22,5.43,17.39,whey protein,exact
Protein powder,553625,"BODYLOGIX, PROTEIN POWDER, NATURAL STRAWBERRY",branded_food,387.0,77.42,6.45,9.68,protein powder,exact
Coffee creamer,2413012,"FRESH VANILLA FLAVORED COFFEE CREAMER, FRESH VANILLA",branded_food,2867.0,73.33,273.33,33.33,coffee creamer,exact
Toffee,2543619,"ASSORTED MILK & DARK CHOCOLATE, CARAMEL, PEANUT CLUSTER, PECAN DELIGHT, NUT CARAMEL, CASHEW CLUSTER, TOFFEE, ALMONDS, STRAWBERRY CREAM, TRUFFLE",branded_food,469.0,6.25,28.12,53.12,toffee,exact
Chocolate,170662,"Ice creams, BREYERS, All Natural Light Vanilla Chocolate Strawberry",sr_legacy_food,161.0,4.69,4.35,26.06,chocolate,exact
White chocolate,2572808,"12 FLAVOR VARIETY CHEESECAKE PLATTER, NY STYLE, CHOCOLATE CHERRY, CHOCOLATE MARBLE, STRAWBERRY SWIRL, CHOCOLATE CHIP, RASPBERRY WHITE CHOCOLATE, BROWNIE, BLUEBERRY SWIRL, VANILLA BEAN, TURTLE, CHOCOLATE, RASPBERRY SWIRL",branded_food,372.0,4.26,22.34,40.43,white chocolate,exact
Cocoa powder,1793831,RAW COCOA POWDER,branded_food,525.0,25.0,25.0,50.0,cocoa powder,exact
Milk chocolate,2659078,"24 DAYS OF CHOCOLATE BLISS, CARAMEL FLAVORED MILK CHOCOLATE, COCONUT CREME MILK CHOCOLATE, MILK CHOCOLATE, MILK CHOCOLATE CREME MILK CHOCOLATE, MINT FLAVORED DARK CHOCOLATE, STRAWBERRY ROSE CREME WHITE CHOCOLATE, DARK CHOCOLATE WITH SEA SALT, SEA SALT CREME DARK CHOCOLATE, RASPBERRY FLAVORED DARK CHOCOLATE, ESPRESSO MILK CHOCOLATE, MILK CHOCOLATE GANACHE MILK CHOCOLATE",branded_food,536.0,3.57,32.14,53.57,milk chocolate,exact
Hot chocolate,1076585,"LIMITED EDITION POPS, BERRY LEMONADE, PEACH-MANGO, BLUEBERRY BURST, SUGAR COOKIE, PINEAPPLE-COCONUT, LEMON-LIME, STRAWBERRY-KIWI, CINNAMON ROLL, HOT CHOCOLATE, BIRTHDAY CAKE, STRAWBERRY MILKSHAKE, COTTON CANDY, BANANA SPLIT, TROPICAL FREEZE, DRAGON FRUIT,",branded_food,400.0,0.0,0.0,100.0,hot chocolate,exact
Caramel,1317642,"12 SLICE VARIETY CHEESECAKE, CHOCOLATE CHIP, RASPBERRY WHITE CHOCOLATE, FUDGE BROWNIE, BLUEBERRY SWIRL, VANILLA BEAN, CARAMEL TURTLE, CHOCOLATE, RASPBERRY SWIRL, NEW YORK STYLE, CHOCOLATE CHERRY, CHOCOLATE MARBLE, STRAWBERRY SWIRL",branded_food,351.0,4.26,20.21,39.36,caramel,exact
Candy,167583,"Candies, TWIZZLERS Strawberry Twists Candy",sr_legacy_food,348.0,2.56,2.32,79.16,candy,exact
Marshmallow,2422076,"30 FLAVORS CANDY, BLUEBERRY, BUBBLE GUM, BUTTERED POPCORN, CAPPUCCINO, CARAMEL CORN, CHOCOLATE PUDDING, COCONUT, COTTON CANDY, A&W CREAM SODA, DR PEPPER, FRENCH VANILLA, GREEN APPLE, JUICY PEAR, SUNKIST LEMON, LEMON LIME, LICORICE, ORANGE SHERBET, PEACH, PINA COLADA, POMEGRANATE, RED APPLE, A&W ROOT BEER, SIZZLING CINNAMON, STRAWBERRY CHEESECAKE, SUNKIST TANGERINE, TOASTED MARSHMALLOW, TOP BANANA, TUTTI-FRUITTI, VERY CHERRY, WATERMELON",branded_food,367.0,0.0,0.0,93.33,marshmallow,exact
Honey,173019,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with real strawberries",sr_legacy_food,399.0,6.7,4.9,83.3,honey,exact
Maple syrup,2633497,"BRUNCH FAVORITES CANDY CORN, FRENCH TOAST & MAPLE SYRUP, WAFFLES & STRAWBERRY, CHOCOLATE CHIP & PANCAKES",branded_food,359.0,0.0,0.0,92.31,maple syrup,exact
Corn syrup,2188249,"SLICED STRAWBERRIES SWEETENED WITH SUGAR NO HIGH FRICTOSE CORN SYRUP, STRAWBERRIES SWEETENED WITH SUGAR",branded_food,86.0,0.72,0.0,21.58,corn syrup,exact
Molasses,1919935,"HAY MAKERS CIDER, STRAWBERRY WITH GINGER, HONEY, MOLASSES & VINEGAR",branded_food,46.0,0.0,0.0,11.67,molasses,exact
Salt,170893,"Egg, whole, raw, frozen, salted, pasteurized",sr_legacy_food,138.0,10.97,10.07,0.83,salt,exact
Sea salt,2659078,"24 DAYS OF CHOCOLATE BLISS, CARAMEL FLAVORED MILK CHOCOLATE, COCONUT CREME MILK CHOCOLATE, MILK CHOCOLATE, MILK CHOCOLATE CREME MILK CHOCOLATE, MINT FLAVORED DARK CHOCOLATE, STRAWBERRY ROSE CREME WHITE CHOCOLATE, DARK CHOCOLATE WITH SEA SALT, SEA SALT CREME DARK CHOCOLATE, RASPBERRY FLAVORED DARK CHOCOLATE, ESPRESSO MILK CHOCOLATE, MILK CHOCOLATE GANACHE MILK CHOCOLATE",branded_food,536.0,3.57,32.14,53.57,sea salt,exact
Kosher salt,450292,"CLOVER VALLEY, COARSE KOSHER SALT",branded_food,0.0,0.0,0.0,0.0,kosher salt,exact
Soy sauce,2297670,"RAW HOSO MAKI COMBO 1/2 ROLL OF HOSO MAKI TUNA AND 1/2 ROLL HOSO MAKI SALMON AND 3 PIECES OF TUNA NIGIRI, 3 PIECES OF SALMON NIGIRI GARNISHED WITH GINGER, WASABI AND SOY SAUCE",branded_food,143.0,8.84,1.36,22.45,soy sauce,exact
Tamari,167763,"Tamarinds, raw",sr_legacy_food,239.0,2.8,0.6,62.5,tamari,exact
Teriyaki sauce,2194448,"ASIAN-STYLE VEGETABLES & RICE FRESH STEAM MUKIMAME, WHITE LONG GRAIN RICE, CARROTS, RED BELL PEPPERS. MUSHROOMS & WILD RICE WITH TERIYAKI SAUCE, ASIAN-STYLE VEGETABLES & RICE",branded_food,82.0,4.55,1.82,11.82,teriyaki sauce,exact
Worcestershire sauce,2707447,Worcestershire sauce,survey_fndds_food,77.0,0.0,0.0,19.17,worcestershire sauce,exact
Vinegar,1834004,"ACTIVATED CHARCOAL WITH RAW & UNFILTERED APPLE CIDER VINEGAR, APPLE CIDER",branded_food,117.0,0.0,0.0,30.0,vinegar,exact
Apple cider vinegar,1834004,"ACTIVATED CHARCOAL WITH RAW & UNFILTERED APPLE CIDER VINEGAR, APPLE CIDER",branded_food,117.0,0.0,0.0,30.0,apple cider vinegar,exact
Rice vinegar,499016,100% NATURAL RICE VINEGAR,branded_food,0.0,0.0,0.0,0.0,rice vinegar,exact
Balsamic vinegar,1156513,"BALSAMIC VINEGAR, STRAWBERRY",branded_food,200.0,0.0,0.0,46.67,balsamic vinegar,exact
White vinegar,2579803,BIANCA SWEET WHITE VINEGAR,branded_food,333.0,0.0,0.0,86.67,white vinegar,exact
Mustard,169256,"Mustard greens, raw",sr_legacy_food,27.0,2.86,0.42,4.67,mustard,exact
Ketchup,747693,"Ketchup, restaurant",foundation_food,117.0,1.11,0.55,26.8,ketchup,exact
Mayonnaise,1127890,"FRESH TENDER TURKEY BREAST ,SAVORY STUFFING AND SWEET CRANBERRY MAYONNAISE WRAPPED TOGETHER IN A SOFT FLOUR TORTILLA, THANKSGIVING TURKEY TWISTER",branded_food,272.0,10.29,8.09,30.88,mayonnaise,exact
Hot sauce,1306902,FARM FRESH HOT SAUCES,branded_food,0.0,0.0,0.0,0.0,hot sauce,exact
Chili sauce,171595,"Sauce, tomato chili sauce, bottled, with salt",sr_legacy_food,92.0,2.5,0.3,19.79,chili sauce,exact
Sriracha,1530399,"BRAD'S, RAW CRUNCHY KALE, FRANK SRIRACHA",branded_food,464.0,14.29,25.0,46.43,sriracha,exact
BBQ sauce,2576110,"BACKYARD BBQ FRESH BLEND OF ROMAINE LETTUCE, KALE, BROCCOLI, RED CABBAGE, SWEET CARROTS, GREEN ONIONS, AND SAVOY CABBAGE WITH RANCH DRESSING, BBQ SAUCE, CRISPY FRIED ONIONS AND BACON BITS CHOPPED SALAD KIT, BACKYARD BBQ",branded_food,140.0,3.0,9.0,11.0,bbq sauce,exact
Oyster sauce,2707150,Oyster sauce,survey_fndds_food,51.0,1.35,0.25,10.92,oyster sauce,exact
Fish sauce,2706457,Fish sauce,survey_fndds_food,35.0,5.06,0.01,3.64,fish sauce,exact
Hoisin sauce,2707441,Hoisin sauce,survey_fndds_food,220.0,3.31,3.39,44.08,hoisin sauce,exact
Black bean sauce,2707404,Black bean sauce,survey_fndds_food,168.0,6.28,8.45,17.36,black bean sauce,exact
Curry paste,619530,"GREEN CURRY PASTE, FRESH GREEN CHILIES & SPICES",branded_food,83.0,0.0,0.0,16.67,curry paste,exact
Curry powder,372688,"FRESH FINDS, CURRY POWDER",branded_food,0.0,0.0,0.0,0.0,curry powder,exact
Chili powder,371931,"FRESH FINDS, CHILI POWDER",branded_food,0.0,0.0,0.0,0.0,chili powder,exact
Paprika,371914,"FRESH FINDS, PAPRIKA",branded_food,0.0,0.0,0.0,0.0,paprika,exact
Cumin,438202,"SHY BROTHERS FARM, CLOUMAGE, CREAMY FRESH CHEESE, ROSEMARY + CUMIN",branded_food,69.0,3.45,3.45,3.45,cumin,exact
Coriander,169997,"Coriander (cilantro) leaves, raw",sr_legacy_food,23.0,2.13,0.52,3.67,coriander,exact
Turmeric,1568539,AMBA HALDAR FRESH TURMERIC PICKLE,branded_food,62.0,0.0,0.0,12.5,turmeric,exact
Black pepper,2689801,AdvancePierre Blue Label Raw Breaded Black Pepper Western Style Country Fried Beef Steak Fritters,branded_food,300.0,12.77,17.75,21.78,black pepper,exact
White pepper,2367163,"ASSORTED CHOCOLATE TRUFFLES, WHITE PEPPERMINT, MILK PEPPERMINT COOKIE",branded_food,611.0,5.56,47.22,44.44,white pepper,exact
Garlic powder,171325,"Spices, garlic powder",sr_legacy_food,331.0,16.55,0.73,72.73,garlic powder,exact
Onion powder,171327,"Spices, onion powder",sr_legacy_food,341.0,10.41,1.04,79.12,onion powder,exact
Ginger powder,557638,"BUTTERFLY, GINGER POWDER",branded_food,20.0,1.0,0.0,4.0,ginger powder,exact
Five-spice powder,516962,ORGANIC NON-GMO BRAISED TOFU PUFFS FIVE-SPICE TOFU NUGGETS,branded_food,212.0,18.82,8.24,14.12,five-spice,partial
Cinnamon,172755,"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",sr_legacy_food,371.0,5.4,18.5,47.8,cinnamon,exact
Nutmeg,2295496,"CARROT CAKE COCONUT, RAW HONEY, RAISINS, CINNAMON, NUTMEG AND WALNUTS BLONDE TRUFFLE BAR, CARROT CAKE",branded_food,529.0,4.17,41.67,41.67,nutmeg,exact
Clove,1708566,100% RAW CLOVER HONEY,branded_food,286.0,0.0,0.0,80.95,clove,exact
Cardamom,2295486,"GINGER CARDAMOM DARK COCOA, RAW HONEY, COCONUT, GINGER AND CARDAMOM COCOA TRUFFLE BAR, GINGER CARDAMOM",branded_food,508.0,4.17,41.67,41.67,cardamom,exact
Star anise,596000,100% ORGANIC STAR ANISE,branded_food,0.0,0.0,0.0,0.0,star anise,exact
Bay leaf,170917,"Spices, bay leaf",sr_legacy_food,313.0,7.61,8.36,74.97,bay leaf,exact
Dried basil,1041603,LIGHTLY DRIED BASIL,branded_food,0.0,0.0,0.0,0.0,dried basil,exact
Dried oregano,171691,"Apples, dried, sulfured, uncooked",sr_legacy_food,243.0,0.93,0.32,65.89,dried,partial
Dried thyme,2439630,"K.L.V., DRIED THYME LEAVES",branded_food,83.0,0.0,0.0,16.67,dried thyme,exact
Dried rosemary,1867561,"K.L.V., DRIED ROSEMARY LEAVES",branded_food,83.0,0.0,0.0,16.67,dried rosemary,exact
Parsley flakes,2577685,"PARMESAN FETTUCCINI PASTA WITH PARSLEY FLAKES IN A CREAMY PARMESAN CHEESE FLAVORED SAUCE EASY SIDES, PARMESAN",branded_food,390.0,11.86,10.17,64.41,parsley flakes,exact
Cayenne pepper,372514,"FRESH FINDS, CAYENNE PEPPER",branded_food,0.0,0.0,0.0,0.0,cayenne pepper,exact
Sugar,173422,"Egg, yolk, raw, frozen, sugared, pasteurized",sr_legacy_food,307.0,13.87,22.82,10.95,sugar,exact
Brown sugar,1744711,"APPLE BERRY CRISP FRESHLY PEELED APPLES, JUICY WILD BLUEBERRIES FROZEN AT PEAK RIPENESS, RASPBERRIES, BLACKBERRIES & RHUBARB, TOPPED WITH A DELICIOUS BROWN SUGAR & BUTTERY OAT CRUMBLE OAT CRUMBLE, APPLE BERRY",branded_food,75.0,0.44,1.55,14.6,brown sugar,exact
Powdered sugar,643856,"MRS. FRESHLEY'S, DELICIOUS DEALS POWDERED SUGAR MINI DONUTS",branded_food,420.0,4.0,20.0,58.0,powdered sugar,exact
Palm sugar,803455,CHOCOLATE WITH COCONUT MILK ORGANIC 55% COCOA AND COCONUT PALM SUGAR,branded_food,600.0,6.67,43.33,46.67,palm sugar,exact
Vanilla extract,173471,Vanilla extract,sr_legacy_food,288.0,0.06,0.06,12.65,vanilla extract,exact
Baking soda,175040,"Leavening agents, baking soda",sr_legacy_food,0.0,0.0,0.0,0.0,baking soda,exact
Baking powder,172803,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",sr_legacy_food,53.0,0.0,0.0,27.7,baking powder,exact
Cornstarch,169698,Cornstarch,sr_legacy_food,381.0,0.26,0.05,91.27,cornstarch,exact
Gelatin,2531667,ALL PINK STRAWBERRY GELATIN,branded_food,368.0,5.26,0.0,84.21,gelatin,exact
Agar agar,2025109,AGAR AGAR SEA VEGETABLE FLAKES,branded_food,0.0,0.0,0.0,66.67,agar agar,exact
Olive oil,1774344,100% ORGANIC EXTRA VIRGIN FRESH-PRESSED OLIVE OIL,branded_food,800.0,0.0,93.33,0.0,olive oil,exact
Canola oil,2192672,"CLASSIC HUMMUS A TRADITIONAL BLEND OF FRESH STEAMED CHICKPEAS, SESAME TAHINI, SALT, CANOLA OIL, AND A TOUCH OF GARLIC, CLASSIC",branded_food,267.0,6.67,16.67,20.0,canola oil,exact
Coconut oil,1490004,"FRESH COCONUT FLAVOR 100% ORGANIC VIRGIN & UNREFINED FRESH COCONUT OIL, FRESH COCONUT",branded_food,857.0,0.0,100.0,0.0,coconut oil,exact
Sesame oil,2710190,Sesame oil,survey_fndds_food,884.0,0.0,100.0,0.0,sesame oil,exact
Sunflower oil,2710192,Sunflower oil,survey_fndds_food,900.0,0.0,100.0,0.0,sunflower oil,exact
Peanut oil,410989,"FRESH & EASY, PEANUT OIL",branded_food,800.0,0.0,93.33,0.0,peanut oil,exact
Vegetable oil,1492762,"BRUMMEL & BROWN BUTTERY SPREAD, CREAMY STRAWBERRY, 10% NONFAT YOGURT, 34% VEGETABLE OIL SPREAD",branded_food,417.0,0.0,33.33,25.0,vegetable oil,exact
Butter oil,173412,"Butter oil, anhydrous",sr_legacy_food,876.0,0.28,99.48,0.0,butter oil,exact
Lard,170406,"Collards, raw",sr_legacy_food,32.0,3.02,0.61,5.42,lard,exact
Shortening,169823,"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",sr_legacy_food,470.0,9.0,43.5,10.5,shortening,exact
Cooking wine,1296149,BURGUNDY COOKING WINE,branded_food,100.0,0.0,0.0,10.0,cooking wine,exact
Soy paste,1496131,"KIMLAN, SOY PASTE",branded_food,107.0,7.33,0.0,20.0,soy paste,exact
Fermented bean paste,2537140,BAVARIAN FERMENTED WITH CARAWAY SEEDS SAUERKRAUT,branded_food,33.0,0.0,0.0,6.67,fermented,partial
Kimchi,452647,"BEAGLE BAY ORGANICS, KIMCHI, RAW SAUERKRAUT",branded_food,33.0,3.33,0.0,6.67,kimchi,exact
Pickles,1768165,"BREAD & BUTTER FRESH PICKLES, BREAD & BUTTER",branded_food,83.0,0.0,0.0,16.67,pickles,exact
Relish,1744444,"CRANBERRY ORANGE TANGY CRANBERRIES, FRESH ORANGES AND DELICIOUS APPLES SIMMERED WITH CINNAMON AND SUGAR RELISH, CRANBERRY ORANGE",branded_food,169.0,1.54,0.0,41.54,relish,exact
Miso paste,2030383,"CHIKUMA, MISO PASTE",branded_food,167.0,11.11,5.56,16.67,miso paste,exact
Tahini,169410,"Seeds, sesame butter, tahini, from raw and stone ground kernels",sr_legacy_food,570.0,17.81,48.0,26.19,tahini,exact
Peanut butter,433328,"7-ELEVEN, FRESH TO GO, COOKIE, PEANUT BUTTER",branded_food,368.0,7.02,21.05,40.35,peanut butter,exact
Jam,168150,"Java-plum, (jambolan), raw",sr_legacy_food,60.0,0.72,0.23,15.56,jam,exact
Marmalade,392857,"FRESH & EASY, DELICIOUS SWEET ORANGE MARMALADE",branded_food,250.0,0.0,0.0,65.0,marmalade,exact
Tatsoi,0,NOT FOUND: Tatsoi,not_found,0.0,0.0,0.0,0.0,,not_found
Strawberry,0,NOT FOUND: Strawberry,not_found,0.0,0.0,0.0,0.0,,not_found
Medlar,0,NOT FOUND: Medlar,not_found,0.0,0.0,0.0,0.0,,not_found
Salak,0,NOT FOUND: Salak,not_found,0.0,0.0,0.0,0.0,,not_found
